window_id,scope,mode_key,plot_panel,plot_series,anchor_left_xi,anchor_right_xi,strength,value_space,phase_policy,observables,reason
mode_a_muB900p0_alpha1p0_tau_quark_branch_u_d,journal/main,mode_a,muB900.0,alpha1.0,-0.06,-0.003,0.50,log,branch_local,tau_u;tau_d,soften the isolated slope hump while preserving the quark-side endpoint values
mode_a_muB900p0_alpha1p0_tau_quark_branch_ubar_dbar,journal/main,mode_a,muB900.0,alpha1.0,-0.06,-0.003,0.35,log,branch_local,tau_ubar;tau_dbar,soften the stronger antiquark-side slope hump without removing the branch-scale rise
mode_a_muB900p0_alpha1p1_tau_rise_one_u_d,journal/main,mode_a,muB900.0,alpha1.1,0.16,0.22,0.55,log,branch_local,tau_u;tau_d,reduce the first rapid-rise kink while retaining its net increase
mode_a_muB900p0_alpha1p1_tau_rise_one_ubar_dbar,journal/main,mode_a,muB900.0,alpha1.1,0.16,0.22,0.60,log,branch_local,tau_ubar;tau_dbar,reduce the first rapid-rise kink while retaining its net increase
mode_a_muB900p0_alpha1p1_tau_rise_two,journal/main,mode_a,muB900.0,alpha1.1,0.41,0.46,0.60,log,branch_local,tau_u;tau_d;tau_ubar;tau_dbar,soften the second rapid-rise curvature without flattening the broad trend
mode_b_T200p0_muB0p0_xim0p21_window,journal/main,mode_b,T200.0,muB0.0,-0.23,-0.19,1.00,log,crossover_only,eta_over_s;zeta_over_s;sigma_over_T;tau_u;tau_d;tau_s;tau_ubar;tau_dbar;tau_sbar;eta;sigma;zeta,remove the three-point shoulder around the audited small-denominator window
mode_b_T200p0_muB450p0_xip0p31_window,journal/main,mode_b,T200.0,muB450.0,0.29,0.33,1.00,log,crossover_only,eta_over_s;zeta_over_s;sigma_over_T;tau_u;tau_d;tau_s;tau_ubar;tau_dbar;tau_sbar;eta;sigma;zeta,remove the three-point shoulder around the audited small-denominator window
mode_b_T200p0_muB900p0_xim0p10_window,journal/main,mode_b,T200.0,muB900.0,-0.12,-0.08,1.00,log,crossover_only,eta_over_s;zeta_over_s;sigma_over_T;tau_u;tau_d;tau_s;tau_ubar;tau_dbar;tau_sbar;eta;sigma;zeta,remove the local shoulder around the audited small-denominator window
mode_a_muB0p0_alpha1p0_xip0p37_window,journal/main,mode_a,muB0.0,alpha1.0,0.35,0.39,0.85,log,crossover_only,eta_over_s;zeta_over_s;sigma_over_T;tau_u;tau_d;tau_s;tau_ubar;tau_dbar;tau_sbar;eta;sigma;zeta,extend the existing single-point repair to its visible shoulders
mode_a_muB450p0_alpha1p0_xip0p26_window,journal/main,mode_a,muB450.0,alpha1.0,0.24,0.28,0.85,log,crossover_only,eta_over_s;zeta_over_s;sigma_over_T;tau_u;tau_d;tau_s;tau_ubar;tau_dbar;tau_sbar;eta;sigma;zeta,extend the existing pole-sensitive repair to its visible shoulders
mode_a_muB0p0_alpha1p1_xip0p48_window,journal/main,mode_a,muB0.0,alpha1.1,0.46,0.50,0.85,log,crossover_only,eta_over_s;zeta_over_s;sigma_over_T;tau_u;tau_d;tau_s;tau_ubar;tau_dbar;tau_sbar;eta;sigma;zeta,extend the existing pole-sensitive repair to its visible shoulders
mode_a_muB450p0_alpha1p1_xip0p35_window,journal/main,mode_a,muB450.0,alpha1.1,0.33,0.37,0.85,log,crossover_only,eta_over_s;zeta_over_s;sigma_over_T;tau_u;tau_d;tau_s;tau_ubar;tau_dbar;tau_sbar;eta;sigma;zeta,extend the existing pole-sensitive repair to its visible shoulders
mode_a_muB450p0_alpha1p0_xim0p20_window,journal/main,mode_a,muB450.0,alpha1.0,-0.22,-0.18,0.85,log,crossover_only,eta_over_s;zeta_over_s;sigma_over_T;tau_u;tau_d;tau_s;tau_ubar;tau_dbar;tau_sbar;eta;sigma;zeta,extend the existing pole-sensitive repair to its visible shoulders
mode_a_muB0p0_alpha1p2_xim0p47_window,supplemental_author_review,mode_a,muB0.0,alpha1.2,-0.49,-0.45,0.85,log,crossover_only,tau_s;tau_sbar,extend the existing strange-flavor dip repair to its visible shoulders
