"query_id","date","database_or_route","query","purpose","screening_result","limitations"
"Q01","2026-08-28","arXiv/public web","PNJL phase shift Levinson Mott Beth-Uhlenbeck pion kaon","phase definition, continuum and Mott","Wergieluk, Dubinin, Blaschke GBU papers included","web index counts are not treated as exhaustive"
"Q02","2026-08-28","arXiv/public web","charged kaon pion phase shift unequal mass NJL RPA anomalous K+ mode","ordered charged channels and anomalous mode","Dubinin 2015/2017 and Blaschke 2020 included","no executable anomalous-mode removal recipe found"
"Q03","2026-08-28","arXiv/public web","finite isospin chemical potential three flavor NJL RPA KMT mixing determinant phase","explicit mu_I, condensates and matrix RPA","Xia 2013 and Lopes 2021 included","different mu_I normalizations"
"Q04","2026-08-28","APS/SCOAP3/public web","KMT effective coupling K03 K38 neutral mesons RPA Rehberg","complete K_ab and 0/3/8 mixing","Rehberg 1996 and Mei 2023 included","Rehberg publisher full text is not open in all routes"
"Q05","2026-08-28","arXiv/public web","generalized Beth Uhlenbeck Phi derivable meson loop backreaction NJL PNJL","feedback, double counting, cutoff and Ward checks","Blaschke 2014/2015/2017, Oertel 1999/2000 and Pereira 2020 included","most feedback work is 2-flavor NJL rather than charged 2+1 PNJL"
"Q06","2026-08-28","arXiv/public web","kaon pion ratio PNJL chemical freezeout sqrt(sNN)","ratio trend and freezeout path","Friesen 2019, Blaschke 2020 and Cleymans 2006 included","model freezeout curves are proxies and parameterizations differ"
"Q07","2026-08-28","APS/arXiv/public web","NA49 K+ pi+ excitation function horn K- pi- beam energy","experimental trend and scale","NA49 2002 and related open data references retained","acceptance and yield definition differ from thermodynamic density"
"Q08","2026-08-29","local temp10 corpus","meson pressure EOS literature scan PNJL BU phase shift","deduplicate prior downloads and implementation notes","local extracted texts cross-checked against public metadata","local corpus is historical project evidence, not a database census"
"Q09","2026-09-01","local repository","ChargedPhaseBackend OneLoopIntegrals MesonDensity BUPhaseGates","map literature requirements to current code","all relevant modules mapped in README","current branch is exploratory and diagnostic"
"Q10","2026-09-01","public web","Generalized Beth Uhlenbeck Entropy Formula Phi-derivable 2025","check recent formal feedback developments","retained as recent supporting preprint/article lead","not yet a charged PNJL implementation"
"Q11","2026-09-01","arXiv HTML + APS/Springer public pages","on-shell S-matrix phase exp(2 i delta) propagator phase logarithmic derivative BU measure","separate DMB S-matrix identity from the later retarded-propagator mapping and fix the factor-of-two convention","S02 and modern S-matrix review give S=exp(2 i delta), d(delta)/pi and the connected trace; no source makes -arg(Delta^R) plus unwrap/high-energy anchor unique","publisher S02 page is access-gated; public metadata and the retained authorized PDF support the formal identity, not a turnkey propagator algorithm"
"Q12","2026-09-01","arXiv HTML","unequal-mass charged kaon anomalous low-energy mode Levinson threshold phase","confirm K+ anomalous mode, K+/K- ordering, threshold jump and continuum compensation","S08 and S10 explicitly report unequal-mass anomalous K+ mode, phase threshold pi-to-zero Mott behavior and the GBU delta-sin(2delta)/2 replacement","neither paper specifies a unique finite-grid root finder or anomalous-mode subtraction algorithm"
"Q13","2026-09-01","arXiv HTML + local PV implementation","finite-temperature eta to zero principal value analytic cut phase endpoint","distinguish finite eta probing from the exact real-axis PV plus cut limit","S05/S08 write the retarded argument with i eta and derive phase from the complex propagator; S03/S06 establish the field-theory BU/GBU continuation and endpoint role; project Cauchy-PV oracle remains an implementation gate","the papers do not prescribe the project quadrature, eta sequence or endpoint extrapolation tolerance"
