workflow_file,workflow_name,role,trigger,workflow_call_dependency,latest_observed_run_id,latest_observed_date,latest_conclusion,retention_policy,active_reference_summary,recommended_disposition,review_note
active-docs-governance.yml,active-docs-governance,governance,"workflow_dispatch;pull_request;push",,33318153418,2026-08-30,success,repository governance,docs/dev/active/**;scripts/dev/check_active_docs_governance.jl,retain_governance,required by active-docs gate
ci-integration.yml,ci-integration,governance,"workflow_dispatch;pull_request;push",,33318153429,2026-08-30,success,repository governance,tests/integration/**;Project.toml,retain_governance,core CI entry
ci-validation.yml,ci-validation,governance,"workflow_dispatch;pull_request;push",,33315898346,2026-08-30,success,repository governance,tests/validation/**;validation scripts,retain_governance,core validation entry
data-output-path-guard.yml,data-output-path-guard,governance,"workflow_dispatch;pull_request;push",,33315898147,2026-08-30,success,repository governance,scripts/dev/check_data_output_path_guard.jl,retain_governance,protects formal output paths
dependency-audit.yml,Dependency Audit,governance,"pull_request;push",,33318153431,2026-08-30,success,repository governance,scripts/dev/**;docs/dev/agent_command_reference.md,retain_governance,dependency and instruction checks
docs-consistency.yml,docs-consistency,governance,"workflow_dispatch;pull_request;push",,33318153417,2026-08-30,success,repository governance,docs/**;scripts/dev/check_docs_consistency.jl,retain_governance,docs gate
legacy-switch-governance.yml,legacy-switch-governance,governance,"workflow_dispatch;pull_request;push",,33318153421,2026-08-30,success,repository governance,scripts/dev/check_legacy_solver_switch_leakage.jl,retain_governance,legacy switch contract
models-entry-contract.yml,models-entry-contract,governance,"workflow_dispatch;pull_request;push",,33315898320,2026-08-30,success,repository governance,scripts/dev/check_models_entry_contract.jl,retain_governance,stable Models entry gate
nightly-full-regression.yml,nightly-full-suite,scheduled,"schedule;workflow_dispatch",,33299562227,2026-08-30,success,repository governance,docs/guides/BASELINE_VERSION_MANAGEMENT.md,retain_scheduled,nightly baseline suite
pnjl-benchmarks.yml,benchmarks,benchmark,"workflow_dispatch;push;pull_request",,33315898383,2026-08-30,success,30 days,scripts/perf/**;benchmark/**,retain_governance,performance gate remains active
pnjl-c2-cep-limited-feasibility.yml,PNJL C2 CEP Limited Feasibility,diagnostic,"workflow_dispatch",,31660820525,2026-08-13,success,30/90 days,tests/unit/python/test_pnjl_c2_cep_limited_feasibility.py;tests/unit/models/test_pnjl_c2_cep_limited_feasibility.jl,preserve_historical_replay,aggregate replay evidence retained
pnjl-c2-cep-manual-bisection.yml,PNJL C2 CEP Manual Bisection Diagnostic,diagnostic,"workflow_dispatch",,31999149922,2026-08-17,success,90 days,no active repository reference found,retirement_candidate_review,artifact and provenance must be retained first
pnjl-c2-cep-three-midpoint.yml,PNJL C2 CEP Three-Midpoint Refinement,diagnostic,"workflow_dispatch",,31990013292,2026-08-17,success,90 days,tests/unit/python/test_pnjl_c2_cep_limited_feasibility.py,preserve_historical_replay,three xi artifacts are historical evidence
pnjl-c2-cep-xi05-high-side-extension.yml,PNJL C2 CEP xi=0.5 High-Side Extension,diagnostic,"workflow_dispatch",,32014476047,2026-08-17,success,90 days,tests/unit/python/test_pnjl_c2_cep_xi05_high_side_extension.py,preserve_historical_replay,manual endpoint closure evidence
pnjl-c2-limited-feasibility.yml,PNJL C2 Limited Feasibility,diagnostic,"workflow_dispatch",,31585973884,2026-08-12,success,30/90 days,docs/dev/active/2026-07-17_PNJL全温区相图热积分与参考生产.md;tests/unit,preserve_historical_replay,broader task still has active references
pnjl-c2-targeted-closure-v1.yml,PNJL C2 Targeted Closure Diagnostic,diagnostic,"workflow_dispatch",,31944988128,2026-08-16,success,30 days,tests/unit/python/test_pnjl_c2_targeted_closure.py;tests/unit/models/test_pnjl_c2_targeted_closure.jl,preserve_historical_replay,targeted closure replay
pnjl-cep-deep-oracle.yml,PNJL CEP Deep Oracle,diagnostic,"workflow_dispatch",,31710995191,2026-08-13,success,30 days,tests/unit/python/test_pnjl_cep_deep_oracle.py,preserve_historical_replay,oracle evidence and cost record
pnjl-cep-hybrid-production-shadow.yml,PNJL CEP Hybrid Production Shadow,diagnostic,"workflow_dispatch",,31699449984,2026-08-13,success,30 days,tests/unit/python/test_pnjl_cep_hybrid_production_shadow.py,preserve_historical_replay,hybrid shadow evidence
pnjl-cep-narrow-pilot.yml,PNJL CEP Narrow Window Pilot,diagnostic,"workflow_dispatch",,30342409727,2026-07-28,success,30 days,tests/unit/python/test_pnjl_cep_narrow_pilot.py,preserve_historical_replay,early pilot retained as historical comparison
pnjl-cep-production-shadow.yml,PNJL CEP Cascade Production Shadow,diagnostic,"workflow_dispatch",,30527097410,2026-07-30,success,30 days,tests/unit/python/test_pnjl_cep_production_shadow.py,preserve_historical_replay,expired job artifacts observed; aggregate retained
pnjl-dense-reference-assess-xi.yml,PNJL Dense Reference Xi Assessment,reusable,workflow_call,,n/a,n/a,n/a,configurable artifact retention,called by dense reference/replay/resume,retain_reusable,internal reusable job
