claim_id,status,claim_zh,evidence,fields_or_points
CLAIM-DATA-XI001-001,supported,xi001 正式产物在 mode A/B 各包含 909 个主结果点，xi 网格为 -0.50:0.01:0.50，failed points 为 0。,tables/input_inventory.csv,"scan_rows, xi_count, failed_rows"
CLAIM-FIG-XI001-001,supported,新正式图像已补齐 tau_ubar、tau_dbar、tau_sbar，并同时补出 zeta_over_s；mode A/B 图目录各有 36 张 PNG。,data/outputs/figures/.../plot_manifest.json; tables/input_inventory.csv,plot_count=36
CLAIM-TAU-JUMP-001,supported,tau 突变不应从 eta_over_s 或 zeta_over_s 反推根因；根因判定以 tau 曲线、上游平衡态背景量和 channel diagnostics 为主。,tables/tau_jump_window_summary.csv; tables/tau_jump_channel_attribution.csv,"cause_verdict, top_channel_evidence"
CLAIM-TAU-JUMP-002,supported_with_scope_limit,一阶/上游分支窗口中的 tau 阶跃由 m_u、Phi、熵密度等背景量快速变化解释，后续输运比值只是下游响应。,tables/tau_jump_window_summary.csv,upstream_first_order_branch_jump_supported
CLAIM-TAU-JUMP-003,supported_with_scope_limit,背景平滑但 tau 单点下探的窗口，其直接近因是少数 q qbar channel 的 rate/contribution 局部尖峰；是否能升级为传播子分母近零机制，需要 denominator-chain 定点深拆或局部收敛补证。,tables/tau_jump_channel_attribution.csv,"rate_ratio_to_neighbor_max, contribution_ratio_to_neighbor_max"
CLAIM-DOWNSTREAM-001,supported_qualitative,eta_over_s 与 zeta_over_s 的局部结构可作为 tau 与熵密度共同作用后的下游趋势响应：channel-rate spike 窗口中随 tau 下探而下探，分支窗口中常被 tau 上升和熵密度下降共同放大。,tables/downstream_transport_response_summary.csv,"response_relation, tau_mean_direction, entropy_direction"
CLAIM-SCOPE-001,author_check,xi001 新中间点继承 p128 积分参数收敛证据，但并非每个新 xi 点都已有 p104->p128 独立 gate；非一阶窗口的小分母机制结论已有 denominator-chain 支持，但若要写成更强的 production-grade 收敛结论，仍需补局部 high-rate convergence gate。,data/outputs/results/relaxtime/transport/phase_guided/mode_a_fixed_muB_phase_scaled/first_canonical_v1_p128_xi001_validated_anchored_prod_v1/phase_guided_transport_scan.csv; data/outputs/results/relaxtime/transport/phase_guided/mode_b_fixed_T_sparse_muB/first_canonical_v1_p128_xi001_validated_anchored_prod_v1/phase_guided_transport_scan.csv; data/outputs/results/relaxtime/transport/phase_guided/first_canonical_v1_p128_xi001_validated_anchored_prod_v1_convergence/README.md,known_limitations
CLAIM-MECH-XI001-001,supported_with_scope_limit,"非一阶窗口 mode A, muB=450, alpha_T=1.0, xi=0.26 的 tau 单点下探在 denominator-chain 证据层支持小分母机制：主导的 uubar_to_uubar/uubar_to_ddbar 通道在同一近阈值 band 出现 mixed detM 峰，修正机制脚本口径后 rate 复现误差为 2.979989057790282e-14；但本轮没有完成额外 high-rate gate。",tables/mechanism_window_summary.csv; tables/denominator_chain_summary.csv; tables/denominator_chain_band_table.csv,window_id=mode_a_muB450p0_alpha1p0_xip0p26_2; verdict=small_denominator_supported; branch=mixed_detM; max_rate_reproduction_rel_error=2.979989057790282e-14
CLAIM-MECH-XI001-002,supported_with_scope_limit,"非一阶窗口 mode B, T=200, muB=450, xi=0.31 的 tau 单点下探在 denominator-chain 证据层支持 simple 1-4KΠ 小分母机制：主导通道在同一近阈值 band 对齐，修正 A-builder 诊断口径后 production rate 可精确复现；但本轮没有完成额外 high-rate gate。",tables/mechanism_window_summary.csv; tables/denominator_chain_summary.csv; tables/local_rate_reproduction_mismatch_root_cause.csv,window_id=mode_b_T200p0_muB450p0_xip0p31_1; verdict=small_denominator_supported; branch=simple_1m4KPi; max_rate_reproduction_rel_error=0.0
CLAIM-MECH-XI001-004,supported_with_scope_limit,6 个 weak_or_broad_tau_variation_candidate 窗口已全部完成 denominator-chain 深拆，均支持 simple 1-4KΠ 近阈值小分母机制；该结论仍是机制补证，不替代逐点 high-rate convergence gate。,tables/mechanism_window_summary.csv; tables/denominator_chain_summary.csv,mode_a_muB0p0_alpha1p1_xip0p48_1=small_denominator_supported/simple_1m4KPi; mode_a_muB900p0_alpha1p1_xip0p18_1=small_denominator_supported/simple_1m4KPi; mode_a_muB450p0_alpha1p1_xip0p35_1=small_denominator_supported/simple_1m4KPi; mode_a_muB900p0_alpha1p2_xip0p49_1=small_denominator_supported/simple_1m4KPi; mode_a_muB450p0_alpha1p0_xim0p20_1=small_denominator_supported/simple_1m4KPi; mode_b_T200p0_muB0p0_xim0p21_1=small_denominator_supported/simple_1m4KPi
CLAIM-MECH-XI001-005,supported,此前 mode B 约 0.47 的 rate 复现偏差来自机制诊断脚本的 A-builder 口径未对齐，而不是 production channel_diagnostics 的物理/数值 bug；修正为 production workflow 的 a_builder 配置后，生产 rate 可复现到机器精度。,tables/local_rate_reproduction_mismatch_root_cause.csv; tables/mechanism_window_summary.csv; tables/mechanism_manifest.json,production_a_builder_config; max_rate_reproduction_rel_error=0.0
CLAIM-MECH-XI001-003,author_check,本机局部 high-rate convergence gate 在当前预算内未完成；因此本轮只把 denominator-chain 表作为机制补证，不能替代生产级收敛证明。,tables/local_rate_convergence_gate.csv; tables/local_rate_convergence_attempts.csv,no convergence rows produced
