"theme_id","theme","literature_fact","primary_sources","current_project_mapping","status_or_gate","allowed_claim"
"E01","phase object","S02 formulates the interaction contribution through the connected on-shell S-matrix and its energy derivative; a complex-log retarded/advanced propagator phase is a later field-theory mapping, and arctan alone is not a branch prescription","S02;S05;S06;S08;S11","ChargedPhaseBackend defaults to -arg Delta^R and reports branch metadata","implemented diagnostic; propagator-to-S-matrix normalization and branch are not production-closed","the physical target is a continuous branch-compatible phase; do not treat S02 as a unique propagator-phase algorithm"
"E02","matrix mixing","when channels mix, use determinant phase or eigenphase sum of the matrix propagator; a fixed component phase is not generally invariant","S04;S12;S14;S15","current charged path is ordered single channel; neutral 0/3/8 matrix is not yet a charged density input","neutral-mixing follow-up","full K03/K38 affects charged ratios only indirectly unless mixing/feedback is added"
"E03","PV and i0","strict real-axis limit separates principal-value real part from analytic cut imaginary part; finite eta is a regulator/probe","S03;S05;S06;S16","OneLoopIntegrals.B0 provides PV plus analytic cut; B0_retarded uses finite eta","eta/PV/grid convergence pending","do not equate one finite eta calculation with the eta->0 limit"
"E04","bound-state count","Levinson relates threshold and high-energy phase difference to the number of bound states, with special treatment for half-bound thresholds; S02 presents the relativistic extension as a plausible extrapolation rather than a first-principles theorem","S02;S05;S06;S08","BUPhaseGates uses finite-grid sign-change count and a provisional q->0 count","diagnostic only; relativistic extension is conditional","production requires an independent bound-state count and an explicit relativistic-assumption gate"
"E05","Mott closure","at Mott dissociation the bound-state threshold phase drops from pi to zero in the adopted convention and continuum compensates the resonance contribution","S05;S06;S08;S11","strict_phase_gate has threshold and Mott hooks","real Mott points not closed","a high-energy tail that does not cancel is a gate failure, not a physical density"
"E06","standard BU","standard BU integrates the derivative of the total phase with Bose/Fermi logarithmic weight; S02's (4 pi i)^-1 S^-1<->dS becomes d(delta)/pi when S=exp(2 i delta)","S01;S02;S03;S06;S08","MesonDensity phase_shift path and strict charged backend","measure and support audit required; phase normalization must be fixed before choosing pi versus 2 pi","report the phase variable, dω/pi or dω/(2pi), and degeneracy explicitly"
"E12","charge multipliers","the relativistic grand ensemble assigns independent multipliers to conserved baryon number, third isospin component and strangeness","S02","ConstraintModes records BQS or explicit charge closure; BU backend consumes the resulting channel chemical potentials","supports charge bookkeeping, not PNJL closure","do not infer mu_s or mu_I relations from the S-matrix ensemble alone"
"E13","dilute-gas validity","the S-matrix expansion is a dilute-gas/virial prescription and its high-density collective-motion extension is not established by the paper","S02","strict charged BU remains diagnostic/candidate and Omega_M feedback is separate","scope limitation","do not promote the S02 formalism alone to a dense-matter self-consistent PNJL production route"
"E07","GBU","GBU modifies the phase combination with delta - sin(2 delta)/2 in a specific Phi-derivable derivation to control continuum/double counting","S06;S16;S24","MesonDensity supports GBU-like weighted path","not a universal default","standard BU and GBU are independent approximations"
"E08","unequal-mass charged channels","K+ = u anti-s, K- = s anti-u; unequal masses/chemical potentials require ordered bubbles and can produce an anomalous low-energy K+ mode","S07;S08;S10;S23","ChargedRPAProvider ordered_retarded and K45 adapter","kernel exists; phase gates pending","K+ and K- must not be collapsed into a single symmetric bubble"
"E09","full KMT","K03/K38 are proportional to sigma_u-sigma_d and directly enter neutral 0/3/8 mixing; K45/K67 distinguish charged and neutral strange channels","S04;S12;S15","EffectiveCouplings has full-kernel diagnostic and phi-native charged adapter","charged production not authorized","full KMT is a model-layer change, not a meson-density feedback switch"
"E10","chemical potentials","phenomenological mu_s ratios, explicit mu_I, and BQS constrained mu_Q/mu_S are different input closures and cannot be substituted without a response calculation","S09;S10;S11;S12;S13;S21","ConstraintModes provides fixed BQS quark-only background","production route choice pending","record the chemical-potential closure with every ratio result"
"E11","meson feedback","Gaussian/one-loop/Phi-derivable feedback requires derivatives of the meson functional, new cutoffs, double-counting control, and chiral identities","S03;S06;S17;S18;S19;S20;S24","partial feedback only changes outer charge constraints; PNJLCore and Omega are unchanged","separate future project","partial feedback is diagnostic, not full thermodynamic equilibrium"
"E12","freezeout and experiment","freezeout curves provide an external T(mu_B) path; NA49 K+/pi+ shows a horn-like nonmonotonic trend while K-/pi- generally rises with energy","S09;S10;S11;S21;S22","baseline_freezeout is the current scan path","trend/scale sanity check only","compare trend and order of magnitude, not exact acceptance-matched fit"
