family,evidence_path,observed_fact,interpretation,confidence,mainline_action
archive-duplication,fortran-archive-validation/gas-liquid and fortran-gas-liquid-validation/source,488 relative paths and all file SHA-256 values match,archive contains no unique gas-liquid evidence,high,do not copy either tree
archive-duplication,fortran-archive-validation/transport-coefficients and fortran-julia-transport-validation/source,26 relative paths and all file SHA-256 values match,archive contains no unique transport source evidence,high,do not copy either tree
magnetic,fortran-magnetic-field-validation/source/**/BB equation.f90,Landau energies and residual terms use flavor-specific q_u q_d q_s,core Landau structure is identifiable but source variants must not be treated as one implementation,high,keep only as historical formula cross-check
magnetic,fortran-magnetic-field-validation/source/**/BB quantity.f90,postprocessing E_d_n and E_s_n use q_u while residual code uses q_d and q_s,thermodynamic postprocessing is inconsistent with the residual route,high,diagnostic-only; no legacy numerical target
magnetic,fortran-magnetic-field-validation/run/**/quantity.dat,fixed-density output contains NaN values in the derived column,run is not a valid thermodynamic reference,high,exclude from validation and production
magnetic,fortran-magnetic-field-validation/run/equal-entropy/stdout.txt,non-ASCII output filename cannot be opened,execution depends on source/output encoding and is not portable,high,retain as workflow failure evidence
magnetic,fortran-magnetic-field-validation/source/** and build/**,source/build variants use different cutoff and postprocessing arrangements,reported values are not a single reproducible route,medium,do not promote cross-variant numbers
meson,fortran-meson-validation/quark_phase/legacy_meson_scan_fortran_muB0_v1.csv,608 rows: 112 exact_light_pole; 40 exact_light_no_bracket; 456 proxy_mass_from_threshold,proxy rows are not solved meson masses and no-bracket rows are not strict roots,high,current tests may use only explicitly admitted lightweight targets
mott,fortran-mott-validation/artifacts/fortran_mott_integral_audit_summary.txt,A/G/K 173 rows; B0 692 rows; Fortran-style A replay max abs about 1.01e-7 and max rel about 1.64e-8,focused replay supports close A-integral agreement under a matched convention,high,retain as diagnostic comparison summary only
mott,fortran-mott-validation/artifacts/fortran_mott_b0_julia_comparison.csv,B0 imaginary max abs about 3.61e-10; real maximum relative difference about 0.902%,imaginary parts agree much more closely than the real part,high,do not use as an unqualified acceptance baseline
rmft,fortran-rmft-validation/run/RMFT_T_rho_RMFT/output/parameter.dat,20001 rows with 19773 fixed-width overflow markers,output is numerically invalid for quantitative validation,high,retain anomaly count only
relaxtime,fortran-relaxtime-validation/run/**/quark_phase/*.dat,legacy set includes Infinity, zero-byte outputs, empty Mott T-rho products, and singular-matrix stop,run completion is not equivalent to valid physics evidence,high,retain exclusion reasons only
gas-liquid,fortran-gas-liquid-validation/rmft-run and source liquid-gas route,legacy liquid-gas main path is a diagnostic RMFT/nucleon route rather than a complete current PNJL validation,call-graph scope is narrower than directory names imply,medium,do not promote outputs to PNJL acceptance
transport,fortran-julia-transport-validation/probe_correct_order.jl,probe contains a stale absolute D:\w path and cannot be replayed as-is,probe is historical code evidence rather than a reproducible benchmark,high,retain no code; use current src/relaxtime contracts
